기간	자치구	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)	공원(1인당공원면적)
기간	자치구	공원	공원	도시공원	도시공원	생활권 공원	생활권 공원
기간	자치구	면적	1인당공원면적	면적	1인당도시공원면적	면적	1인당생활권공원면적
2015	서울시	167,938.9	16.3	114,720.8	11.1	54,935.7	5.3
2015	종로구	11,575.4	70.7	6,450.5	39.4	3,052.4	18.6
2015	중구	3,132.5	23.3	3,082.9	23	1,454.1	10.8
2015	용산구	1,796.9	7.2	784.4	3.2	1,654.3	6.7
2015	성동구	3,067.3	10.1	1,226.0	4	2,933.8	9.6
2015	광진구	3,396.2	9.1	2,950.0	7.9	1,233.9	3.3
2015	동대문구	1,281.1	3.4	1,039.0	2.8	1,192.5	3.2
2015	중랑구	5,233.0	12.5	5,051.7	12.1	1,744.9	4.2
2015	성북구	8,393.0	17.9	4,470.6	9.5	2,195.2	4.7
2015	강북구	14,337.6	42.9	2,280.2	6.8	2,145.1	6.4
2015	도봉구	10,069.6	28.5	1,151.2	3.3	1,277.0	3.6
2015	노원구	14,163.0	24.5	13,850.0	24	2,619.5	4.5
2015	은평구	13,999.6	27.9	6,230.0	12.4	1,253.5	2.5
2015	서대문구	5,136.1	15.9	4,901.2	15.2	1,607.6	5
2015	마포구	4,505.5	11.3	3,180.7	8	4,126.4	10.4
2015	양천구	2,906.1	5.9	2,483.5	5.1	1,879.3	3.8
2015	강서구	4,329.1	7.3	3,244.7	5.4	3,665.6	6.2
2015	구로구	3,156.4	6.9	2,835.1	6.2	1,337.3	2.9
2015	금천구	2,221.1	8.7	2,057.1	8	400.3	1.6
2015	영등포구	3,065.7	7.3	720.7	1.7	2,963.0	7.1
2015	동작구	4,594.8	11.1	4,402.4	10.7	3,130.2	7.6
2015	관악구	10,975.9	20.7	10,969.2	20.7	1,280.5	2.4
2015	서초구	15,874.5	35.2	15,071.1	33.4	2,282.0	5.1
2015	강남구	6,422.0	11	5,132.3	8.8	3,362.8	5.8
2015	송파구	4,253.9	6.4	1,645.9	2.5	4,186.2	6.3
2015	강동구	3,382.7	7.3	2,840.4	6.1	1,958.4	4.2
2015	서울대공원	6,670.0	-	6,670.0	-	-	-
