기간,자치구,유동인구
2018,강남구,"4,400,000"
2018,영등포구,"2,780,000"
2018,송파구,"3,290,000"
2018,서초구,"4,010,000"
2018,관악구,"1,560,000"
2018,강서구,"2,420,000"
2018,마포구,"2,310,000"
2018,구로구,"1,870,000"
2018,중구,"2,040,000"
2018,중랑구,"1,320,000"
2018,노원구,"1,720,000"
2018,강동구,"1,470,000"
2018,광진구,"1,700,000"
2018,은평구,"1,310,000"
2018,종로구,"1,790,000"
2018,강북구,"896,009"
2018,동대문구,"1,350,000"
2018,동작구,"1,710,000"
2018,용산구,"2,070,000"
2018,양천구,"1,500,000"
2018,금천구,"1,100,000"
2018,서대문구,"1,260,000"
2018,성북구,"1,510,000"
2018,성동구,"1,740,000"
2018,도봉구,"937,167"
